Date,Description,Amount,Type
2023-10-02,"DSTV Premium",-29500,expense
2023-10-24,"Paystack Transfer: Client Payment",447517,income
2023-10-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-10-24,"Paystack Transfer: Client Payment",316936,income
2023-10-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-10-04,"Upwork Inc.",581902,income
2023-10-04,"DSTV Premium",-29500,expense
2023-10-04,"Bolt Trip",-2151,expense
2023-10-04,"GTBank Trf: Mom",-30825,expense
2023-10-24,"Paystack Transfer: Client Payment",359251,income
2023-10-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-10-24,"Paystack Transfer: Client Payment",186995,income
2023-10-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-10-06,"DSTV Premium",-29500,expense
2023-10-06,"Bolt Trip",-4013,expense
2023-10-24,"Paystack Transfer: Client Payment",394542,income
2023-10-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-10-07,"GTBank Trf: Mom",-24408,expense
2023-10-07,"Fuel - Total",-24949,expense
2023-10-24,"Paystack Transfer: Client Payment",359216,income
2023-10-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-10-08,"Zoom Video Comms",-18000,expense
2023-10-24,"Paystack Transfer: Client Payment",316691,income
2023-10-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-10-09,"DSTV Premium",-29500,expense
2023-10-24,"Paystack Transfer: Client Payment",187227,income
2023-10-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-10-10,"DSTV Premium",-29500,expense
2023-10-10,"MainOne Cable",-45000,expense
2023-10-24,"Paystack Transfer: Client Payment",412736,income
2023-10-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-10-11,"Upwork Inc.",644354,income
2023-10-11,"Eko Hotels & Suites",-140664,expense
2023-10-11,"Dominos Pizza",-12053,expense
2023-10-11,"MainOne Cable",-45000,expense
2023-10-24,"Paystack Transfer: Client Payment",150037,income
2023-10-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-10-24,"Paystack Transfer: Client Payment",432437,income
2023-10-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-10-13,"Netflix Subscription",-4500,expense
2023-10-13,"Zoom Video Comms",-18000,expense
2023-10-24,"Paystack Transfer: Client Payment",441518,income
2023-10-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-10-14,"Coworking Space Lekki",-60000,expense
2023-10-14,"Fuel - Total",-13192,expense
2023-10-14,"Uber Ride",-1602,expense
2023-10-24,"Paystack Transfer: Client Payment",330978,income
2023-10-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-10-24,"Paystack Transfer: Client Payment",163181,income
2023-10-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-10-16,"MainOne Cable",-45000,expense
2023-10-16,"Zoom Video Comms",-18000,expense
2023-10-16,"GTBank Trf: Mom",-39937,expense
2023-10-24,"Paystack Transfer: Client Payment",392921,income
2023-10-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-10-24,"Paystack Transfer: Client Payment",316814,income
2023-10-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-10-18,"Upwork Inc.",530049,income
2023-10-18,"Shoprite Lekki",-44630,expense
2023-10-18,"GTBank Trf: Mom",-31321,expense
2023-10-18,"Uber Ride",-2648,expense
2023-10-24,"Paystack Transfer: Client Payment",230323,income
2023-10-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-10-19,"Coworking Space Lekki",-60000,expense
2023-10-19,"Coworking Space Lekki",-60000,expense
2023-10-24,"Paystack Transfer: Client Payment",270107,income
2023-10-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-10-20,"DSTV Premium",-29500,expense
2023-10-20,"Shoprite Lekki",-49445,expense
2023-10-24,"Paystack Transfer: Client Payment",378990,income
2023-10-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-10-21,"Vercel Inc.",-25000,expense
2023-10-21,"DSTV Premium",-29500,expense
2023-10-21,"Eko Hotels & Suites",-73532,expense
2023-10-24,"Paystack Transfer: Client Payment",191229,income
2023-10-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-10-24,"Paystack Transfer: Client Payment",347563,income
2023-10-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-10-23,"Netflix Subscription",-4500,expense
2023-10-23,"GTBank Trf: Mom",-33057,expense
2023-10-24,"Paystack Transfer: Client Payment",389956,income
2023-10-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-10-24,"Spar Nigeria",-40035,expense
2023-10-24,"Paystack Transfer: Client Payment",178958,income
2023-10-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-10-25,"Upwork Inc.",342459,income
2023-10-25,"Shoprite Lekki",-36129,expense
2023-10-25,"Dominos Pizza",-16260,expense
2023-10-24,"Paystack Transfer: Client Payment",480977,income
2023-10-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-10-24,"Paystack Transfer: Client Payment",331969,income
2023-10-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-10-27,"Vercel Inc.",-25000,expense
2023-10-27,"Dominos Pizza",-21897,expense
2023-10-27,"Dominos Pizza",-8803,expense
2023-10-24,"Paystack Transfer: Client Payment",407078,income
2023-10-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-10-28,"Fuel - Total",-10075,expense
2023-10-28,"Bolt Trip",-2295,expense
2023-10-28,"Dominos Pizza",-14703,expense
2023-10-24,"Paystack Transfer: Client Payment",429203,income
2023-10-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-10-29,"DSTV Premium",-29500,expense
2023-10-29,"GTBank Trf: Mom",-30717,expense
2023-10-24,"Paystack Transfer: Client Payment",182257,income
2023-10-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-10-30,"Uber Ride",-2338,expense
2023-10-30,"Coworking Space Lekki",-60000,expense
2023-10-30,"Coworking Space Lekki",-60000,expense
2023-10-24,"Paystack Transfer: Client Payment",329979,income
2023-10-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-11-24,"Paystack Transfer: Client Payment",247647,income
2023-11-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-11-01,"Upwork Inc.",719655,income
2023-11-01,"Eko Hotels & Suites",-143397,expense
2023-11-01,"MainOne Cable",-45000,expense
2023-11-24,"Paystack Transfer: Client Payment",274499,income
2023-11-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-11-24,"Paystack Transfer: Client Payment",336886,income
2023-11-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-11-24,"Paystack Transfer: Client Payment",179917,income
2023-11-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-11-04,"Spar Nigeria",-48057,expense
2023-11-04,"Shoprite Lekki",-30162,expense
2023-11-04,"Shoprite Lekki",-48492,expense
2023-11-24,"Paystack Transfer: Client Payment",468787,income
2023-11-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-11-05,"Fuel - Total",-24507,expense
2023-11-05,"Bolt Trip",-4106,expense
2023-11-24,"Paystack Transfer: Client Payment",242807,income
2023-11-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-11-06,"Fuel - Total",-21717,expense
2023-11-06,"Zoom Video Comms",-18000,expense
2023-11-06,"Bolt Trip",-3789,expense
2023-11-24,"Paystack Transfer: Client Payment",446943,income
2023-11-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-11-07,"Uber Ride",-2813,expense
2023-11-07,"Zoom Video Comms",-18000,expense
2023-11-24,"Paystack Transfer: Client Payment",227819,income
2023-11-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-11-08,"Upwork Inc.",664726,income
2023-11-08,"Spectranet 4G LTE",-27236,expense
2023-11-24,"Paystack Transfer: Client Payment",452466,income
2023-11-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-11-09,"Eko Hotels & Suites",-67693,expense
2023-11-09,"Eko Hotels & Suites",-63929,expense
2023-11-09,"Dominos Pizza",-18127,expense
2023-11-24,"Paystack Transfer: Client Payment",248672,income
2023-11-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-11-10,"Netflix Subscription",-4500,expense
2023-11-24,"Paystack Transfer: Client Payment",477392,income
2023-11-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-11-24,"Paystack Transfer: Client Payment",351521,income
2023-11-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-11-12,"Spar Nigeria",-26503,expense
2023-11-12,"MainOne Cable",-45000,expense
2023-11-12,"Netflix Subscription",-4500,expense
2023-11-24,"Paystack Transfer: Client Payment",491019,income
2023-11-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-11-13,"Spectranet 4G LTE",-26844,expense
2023-11-13,"Spectranet 4G LTE",-23305,expense
2023-11-24,"Paystack Transfer: Client Payment",157300,income
2023-11-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-11-24,"Paystack Transfer: Client Payment",184931,income
2023-11-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-11-15,"Upwork Inc.",757017,income
2023-11-24,"Paystack Transfer: Client Payment",248054,income
2023-11-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-11-24,"Paystack Transfer: Client Payment",173659,income
2023-11-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-11-17,"Spar Nigeria",-11421,expense
2023-11-24,"Paystack Transfer: Client Payment",340766,income
2023-11-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-11-18,"Fuel - Total",-11407,expense
2023-11-18,"Shoprite Lekki",-45484,expense
2023-11-18,"Netflix Subscription",-4500,expense
2023-11-24,"Paystack Transfer: Client Payment",363568,income
2023-11-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-11-19,"MainOne Cable",-45000,expense
2023-11-19,"DSTV Premium",-29500,expense
2023-11-24,"Paystack Transfer: Client Payment",151373,income
2023-11-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-11-20,"Netflix Subscription",-4500,expense
2023-11-24,"Paystack Transfer: Client Payment",469220,income
2023-11-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-11-24,"Paystack Transfer: Client Payment",173381,income
2023-11-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-11-22,"Upwork Inc.",467176,income
2023-11-22,"Zoom Video Comms",-18000,expense
2023-11-22,"Shoprite Lekki",-73591,expense
2023-11-24,"Paystack Transfer: Client Payment",339060,income
2023-11-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-11-24,"Paystack Transfer: Client Payment",167923,income
2023-11-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-11-24,"Vercel Inc.",-25000,expense
2023-11-24,"Paystack Transfer: Client Payment",461373,income
2023-11-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-11-25,"MainOne Cable",-45000,expense
2023-11-24,"Paystack Transfer: Client Payment",223338,income
2023-11-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-11-26,"Zoom Video Comms",-18000,expense
2023-11-26,"Zoom Video Comms",-18000,expense
2023-11-26,"Netflix Subscription",-4500,expense
2023-11-24,"Paystack Transfer: Client Payment",165724,income
2023-11-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-11-27,"Zoom Video Comms",-18000,expense
2023-11-24,"Paystack Transfer: Client Payment",350824,income
2023-11-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-11-28,"Uber Ride",-2617,expense
2023-11-28,"Netflix Subscription",-4500,expense
2023-11-24,"Paystack Transfer: Client Payment",225974,income
2023-11-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-11-29,"Upwork Inc.",333749,income
2023-11-29,"GTBank Trf: Mom",-39309,expense
2023-11-29,"Zoom Video Comms",-18000,expense
2023-11-29,"Netflix Subscription",-4500,expense
2023-11-24,"Paystack Transfer: Client Payment",173262,income
2023-11-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-11-30,"Spar Nigeria",-33664,expense
2023-11-30,"Spectranet 4G LTE",-28077,expense
2023-12-24,"Paystack Transfer: Client Payment",225226,income
2023-12-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-12-01,"GTBank Trf: Mom",-29235,expense
2023-12-01,"Coworking Space Lekki",-60000,expense
2023-12-24,"Paystack Transfer: Client Payment",299742,income
2023-12-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-12-02,"Vercel Inc.",-25000,expense
2023-12-02,"Eko Hotels & Suites",-123046,expense
2023-12-02,"Eko Hotels & Suites",-114505,expense
2023-12-24,"Paystack Transfer: Client Payment",478453,income
2023-12-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-12-03,"GTBank Trf: Mom",-46200,expense
2023-12-03,"Coworking Space Lekki",-60000,expense
2023-12-24,"Paystack Transfer: Client Payment",156737,income
2023-12-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-12-04,"Eko Hotels & Suites",-149999,expense
2023-12-24,"Paystack Transfer: Client Payment",262282,income
2023-12-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-12-05,"DSTV Premium",-29500,expense
2023-12-24,"Paystack Transfer: Client Payment",242549,income
2023-12-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-12-06,"Upwork Inc.",649310,income
2023-12-24,"Paystack Transfer: Client Payment",452115,income
2023-12-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-12-07,"Coworking Space Lekki",-60000,expense
2023-12-07,"Zoom Video Comms",-18000,expense
2023-12-24,"Paystack Transfer: Client Payment",334228,income
2023-12-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-12-08,"Zoom Video Comms",-18000,expense
2023-12-08,"Coworking Space Lekki",-60000,expense
2023-12-08,"Zoom Video Comms",-18000,expense
2023-12-24,"Paystack Transfer: Client Payment",330262,income
2023-12-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-12-24,"Paystack Transfer: Client Payment",270294,income
2023-12-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-12-10,"Netflix Subscription",-4500,expense
2023-12-10,"Netflix Subscription",-4500,expense
2023-12-10,"Vercel Inc.",-25000,expense
2023-12-24,"Paystack Transfer: Client Payment",186138,income
2023-12-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-12-11,"Dominos Pizza",-16637,expense
2023-12-11,"Bolt Trip",-1580,expense
2023-12-11,"Spectranet 4G LTE",-30222,expense
2023-12-24,"Paystack Transfer: Client Payment",207039,income
2023-12-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-12-24,"Paystack Transfer: Client Payment",463872,income
2023-12-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-12-13,"Upwork Inc.",701492,income
2023-12-13,"DSTV Premium",-29500,expense
2023-12-24,"Paystack Transfer: Client Payment",306825,income
2023-12-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-12-14,"Eko Hotels & Suites",-74151,expense
2023-12-14,"Spar Nigeria",-10458,expense
2023-12-24,"Paystack Transfer: Client Payment",423010,income
2023-12-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-12-15,"Dominos Pizza",-17032,expense
2023-12-15,"Fuel - Total",-21143,expense
2023-12-24,"Paystack Transfer: Client Payment",363298,income
2023-12-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-12-16,"Spectranet 4G LTE",-31235,expense
2023-12-16,"DSTV Premium",-29500,expense
2023-12-24,"Paystack Transfer: Client Payment",313922,income
2023-12-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-12-24,"Paystack Transfer: Client Payment",490216,income
2023-12-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-12-18,"MainOne Cable",-45000,expense
2023-12-24,"Paystack Transfer: Client Payment",367299,income
2023-12-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-12-19,"Fuel - Total",-10608,expense
2023-12-24,"Paystack Transfer: Client Payment",426896,income
2023-12-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-12-20,"Upwork Inc.",352632,income
2023-12-24,"Paystack Transfer: Client Payment",368314,income
2023-12-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-12-21,"Vercel Inc.",-25000,expense
2023-12-24,"Paystack Transfer: Client Payment",327736,income
2023-12-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-12-22,"Fuel - Total",-22599,expense
2023-12-22,"Coworking Space Lekki",-60000,expense
2023-12-22,"Coworking Space Lekki",-60000,expense
2023-12-24,"Paystack Transfer: Client Payment",480550,income
2023-12-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-12-23,"MainOne Cable",-45000,expense
2023-12-24,"Paystack Transfer: Client Payment",288563,income
2023-12-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-12-24,"GTBank Trf: Mom",-33605,expense
2023-12-24,"GTBank Trf: Mom",-47786,expense
2023-12-24,"Paystack Transfer: Client Payment",197674,income
2023-12-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-12-25,"DSTV Premium",-29500,expense
2023-12-25,"Vercel Inc.",-25000,expense
2023-12-25,"MainOne Cable",-45000,expense
2023-12-24,"Paystack Transfer: Client Payment",370733,income
2023-12-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-12-24,"Paystack Transfer: Client Payment",442215,income
2023-12-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-12-27,"Upwork Inc.",477090,income
2023-12-27,"DSTV Premium",-29500,expense
2023-12-27,"Coworking Space Lekki",-60000,expense
2023-12-27,"Uber Ride",-4248,expense
2023-12-24,"Paystack Transfer: Client Payment",421288,income
2023-12-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-12-28,"MainOne Cable",-45000,expense
2023-12-24,"Paystack Transfer: Client Payment",327911,income
2023-12-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-12-29,"DSTV Premium",-29500,expense
2023-12-29,"Vercel Inc.",-25000,expense
2023-12-29,"Spar Nigeria",-13933,expense
2023-12-24,"Paystack Transfer: Client Payment",171766,income
2023-12-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-12-30,"Coworking Space Lekki",-60000,expense
2023-12-30,"Uber Ride",-1724,expense
2023-12-30,"Spar Nigeria",-46851,expense
2023-12-24,"Paystack Transfer: Client Payment",382546,income
2023-12-24,"Salary: TechCo Nigeria Ltd",850000,income
2023-12-31,"Netflix Subscription",-4500,expense
2024-01-24,"Paystack Transfer: Client Payment",345268,income
2024-01-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-01-01,"Dominos Pizza",-23658,expense
2024-01-01,"Fuel - Total",-20641,expense
2024-01-01,"DSTV Premium",-29500,expense
2024-01-24,"Paystack Transfer: Client Payment",160152,income
2024-01-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-01-02,"DSTV Premium",-29500,expense
2024-01-02,"Bolt Trip",-4213,expense
2024-01-02,"GTBank Trf: Mom",-22098,expense
2024-01-24,"Paystack Transfer: Client Payment",235954,income
2024-01-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-01-03,"Upwork Inc.",400559,income
2024-01-03,"Fuel - Total",-16620,expense
2024-01-24,"Paystack Transfer: Client Payment",379094,income
2024-01-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-01-04,"GTBank Trf: Mom",-39829,expense
2024-01-04,"Netflix Subscription",-4500,expense
2024-01-04,"Uber Ride",-1688,expense
2024-01-24,"Paystack Transfer: Client Payment",203659,income
2024-01-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-01-05,"Spar Nigeria",-48286,expense
2024-01-24,"Paystack Transfer: Client Payment",244541,income
2024-01-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-01-06,"Spectranet 4G LTE",-26449,expense
2024-01-06,"Coworking Space Lekki",-60000,expense
2024-01-06,"Shoprite Lekki",-17252,expense
2024-01-24,"Paystack Transfer: Client Payment",350184,income
2024-01-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-01-07,"Vercel Inc.",-25000,expense
2024-01-24,"Paystack Transfer: Client Payment",306347,income
2024-01-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-01-08,"Shoprite Lekki",-51542,expense
2024-01-24,"Paystack Transfer: Client Payment",474739,income
2024-01-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-01-09,"Coworking Space Lekki",-60000,expense
2024-01-09,"Fuel - Total",-10866,expense
2024-01-09,"Spectranet 4G LTE",-30375,expense
2024-01-24,"Paystack Transfer: Client Payment",227415,income
2024-01-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-01-10,"Upwork Inc.",510843,income
2024-01-24,"Paystack Transfer: Client Payment",435528,income
2024-01-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-01-11,"MainOne Cable",-45000,expense
2024-01-11,"Zoom Video Comms",-18000,expense
2024-01-11,"Coworking Space Lekki",-60000,expense
2024-01-24,"Paystack Transfer: Client Payment",391687,income
2024-01-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-01-24,"Paystack Transfer: Client Payment",307924,income
2024-01-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-01-13,"Eko Hotels & Suites",-135059,expense
2024-01-24,"Paystack Transfer: Client Payment",284924,income
2024-01-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-01-14,"Zoom Video Comms",-18000,expense
2024-01-14,"Uber Ride",-4979,expense
2024-01-14,"Eko Hotels & Suites",-57030,expense
2024-01-24,"Paystack Transfer: Client Payment",183444,income
2024-01-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-01-15,"Spectranet 4G LTE",-32183,expense
2024-01-24,"Paystack Transfer: Client Payment",444011,income
2024-01-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-01-16,"Netflix Subscription",-4500,expense
2024-01-24,"Paystack Transfer: Client Payment",410307,income
2024-01-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-01-17,"Upwork Inc.",694058,income
2024-01-17,"Spectranet 4G LTE",-27554,expense
2024-01-24,"Paystack Transfer: Client Payment",366021,income
2024-01-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-01-24,"Paystack Transfer: Client Payment",219761,income
2024-01-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-01-19,"Eko Hotels & Suites",-126331,expense
2024-01-19,"Spectranet 4G LTE",-28469,expense
2024-01-24,"Paystack Transfer: Client Payment",272460,income
2024-01-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-01-20,"Uber Ride",-5826,expense
2024-01-20,"DSTV Premium",-29500,expense
2024-01-24,"Paystack Transfer: Client Payment",422013,income
2024-01-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-01-24,"Paystack Transfer: Client Payment",329112,income
2024-01-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-01-22,"Coworking Space Lekki",-60000,expense
2024-01-22,"Uber Ride",-1953,expense
2024-01-24,"Paystack Transfer: Client Payment",235707,income
2024-01-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-01-23,"Spar Nigeria",-25581,expense
2024-01-23,"Coworking Space Lekki",-60000,expense
2024-01-24,"Paystack Transfer: Client Payment",414312,income
2024-01-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-01-24,"Upwork Inc.",317743,income
2024-01-24,"MainOne Cable",-45000,expense
2024-01-24,"Bolt Trip",-3223,expense
2024-01-24,"Netflix Subscription",-4500,expense
2024-01-24,"Paystack Transfer: Client Payment",487977,income
2024-01-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-01-25,"Uber Ride",-3196,expense
2024-01-25,"Netflix Subscription",-4500,expense
2024-01-24,"Paystack Transfer: Client Payment",224603,income
2024-01-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-01-24,"Paystack Transfer: Client Payment",335649,income
2024-01-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-01-27,"Shoprite Lekki",-43843,expense
2024-01-27,"Netflix Subscription",-4500,expense
2024-01-24,"Paystack Transfer: Client Payment",218861,income
2024-01-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-01-28,"Zoom Video Comms",-18000,expense
2024-01-28,"Bolt Trip",-2762,expense
2024-01-24,"Paystack Transfer: Client Payment",195133,income
2024-01-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-01-24,"Paystack Transfer: Client Payment",330488,income
2024-01-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-01-30,"MainOne Cable",-45000,expense
2024-01-24,"Paystack Transfer: Client Payment",482870,income
2024-01-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-01-31,"Upwork Inc.",501507,income
2024-02-24,"Paystack Transfer: Client Payment",326208,income
2024-02-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-02-24,"Paystack Transfer: Client Payment",432109,income
2024-02-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-02-02,"Vercel Inc.",-25000,expense
2024-02-02,"Fuel - Total",-10302,expense
2024-02-24,"Paystack Transfer: Client Payment",318093,income
2024-02-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-02-03,"Shoprite Lekki",-30513,expense
2024-02-03,"DSTV Premium",-29500,expense
2024-02-24,"Paystack Transfer: Client Payment",248722,income
2024-02-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-02-04,"Netflix Subscription",-4500,expense
2024-02-04,"DSTV Premium",-29500,expense
2024-02-04,"DSTV Premium",-29500,expense
2024-02-24,"Paystack Transfer: Client Payment",216238,income
2024-02-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-02-05,"Shoprite Lekki",-54296,expense
2024-02-05,"Uber Ride",-5407,expense
2024-02-24,"Paystack Transfer: Client Payment",404854,income
2024-02-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-02-06,"MainOne Cable",-45000,expense
2024-02-24,"Paystack Transfer: Client Payment",443771,income
2024-02-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-02-07,"Upwork Inc.",630823,income
2024-02-07,"Netflix Subscription",-4500,expense
2024-02-24,"Paystack Transfer: Client Payment",275331,income
2024-02-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-02-24,"Paystack Transfer: Client Payment",371603,income
2024-02-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-02-09,"Fuel - Total",-19327,expense
2024-02-24,"Paystack Transfer: Client Payment",470405,income
2024-02-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-02-24,"Paystack Transfer: Client Payment",252069,income
2024-02-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-02-11,"Dominos Pizza",-24704,expense
2024-02-11,"Shoprite Lekki",-16352,expense
2024-02-24,"Paystack Transfer: Client Payment",475258,income
2024-02-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-02-12,"Vercel Inc.",-25000,expense
2024-02-12,"Netflix Subscription",-4500,expense
2024-02-12,"GTBank Trf: Mom",-26687,expense
2024-02-24,"Paystack Transfer: Client Payment",309442,income
2024-02-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-02-13,"Eko Hotels & Suites",-81510,expense
2024-02-13,"Shoprite Lekki",-29166,expense
2024-02-13,"Spectranet 4G LTE",-32337,expense
2024-02-24,"Paystack Transfer: Client Payment",276833,income
2024-02-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-02-14,"Upwork Inc.",434979,income
2024-02-14,"Netflix Subscription",-4500,expense
2024-02-24,"Paystack Transfer: Client Payment",294219,income
2024-02-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-02-15,"Spectranet 4G LTE",-29538,expense
2024-02-24,"Paystack Transfer: Client Payment",179078,income
2024-02-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-02-16,"GTBank Trf: Mom",-38954,expense
2024-02-16,"Uber Ride",-1717,expense
2024-02-16,"GTBank Trf: Mom",-38598,expense
2024-02-24,"Paystack Transfer: Client Payment",396094,income
2024-02-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-02-17,"Uber Ride",-5024,expense
2024-02-17,"Vercel Inc.",-25000,expense
2024-02-24,"Paystack Transfer: Client Payment",311729,income
2024-02-24,"Salary: TechCo Nigeria Ltd",850000,income
2024-02-18,"Netflix Subscription",-4500,expense
